,region,type of household,contents,year,value
1673,Kristiansand (-2019),Couple without resident children,Households,2019,10014
1674,Kristiansand (-2019),Couple with small children (youngest child 0-5 years),Households,2019,4023
1675,Kristiansand (-2019),Couple with older children (youngest child 6-17 years),Households,2019,4497
1676,Kristiansand (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,450
1677,Kristiansand (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,1542
1678,Kristiansand (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,2899
1679,Kristiansand (-2019),Two or more-family households without resident children 0-17 years,Households,2019,1779
1680,Kristiansand (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,245
1681,Kristiansand (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,259
1682,Kristiansand (-2019),Other housesholds,Households,2019,0
1683,Mandal (-2019),Living alone,Households,2019,2595
1684,Mandal (-2019),Couple without resident children,Households,2019,1729
1685,Mandal (-2019),Couple with small children (youngest child 0-5 years),Households,2019,627
1686,Mandal (-2019),Couple with older children (youngest child 6-17 years),Households,2019,835
1687,Mandal (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,83
1688,Mandal (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,280
1689,Mandal (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,527
1690,Mandal (-2019),Two or more-family households without resident children 0-17 years,Households,2019,177
1691,Mandal (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,34
1692,Mandal (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,35
1693,Mandal (-2019),Other housesholds,Households,2019,0
1694,Farsund (-2019),Living alone,Households,2019,1557
1695,Farsund (-2019),Couple without resident children,Households,2019,1101
1696,Farsund (-2019),Couple with small children (youngest child 0-5 years),Households,2019,396
1697,Farsund (-2019),Couple with older children (youngest child 6-17 years),Households,2019,497
1698,Farsund (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,45
1699,Farsund (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,138
1700,Farsund (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,338
1701,Farsund (-2019),Two or more-family households without resident children 0-17 years,Households,2019,97
1702,Farsund (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,22
1703,Farsund (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,25
1704,Farsund (-2019),Other housesholds,Households,2019,0
1705,Flekkefjord (-2019),Living alone,Households,2019,1438
1706,Flekkefjord (-2019),Couple without resident children,Households,2019,1067
1707,Flekkefjord (-2019),Couple with small children (youngest child 0-5 years),Households,2019,343
1708,Flekkefjord (-2019),Couple with older children (youngest child 6-17 years),Households,2019,472
1709,Flekkefjord (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,50
1710,Flekkefjord (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,131
1711,Flekkefjord (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,292
1712,Flekkefjord (-2019),Two or more-family households without resident children 0-17 years,Households,2019,106
1713,Flekkefjord (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,22
1714,Flekkefjord (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,21
1715,Flekkefjord (-2019),Other housesholds,Households,2019,0
1716,Vennesla (-2019),Living alone,Households,2019,2119
1717,Vennesla (-2019),Couple without resident children,Households,2019,1533
1718,Vennesla (-2019),Couple with small children (youngest child 0-5 years),Households,2019,704
1719,Vennesla (-2019),Couple with older children (youngest child 6-17 years),Households,2019,709
1720,Vennesla (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,98
1721,Vennesla (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,279
1722,Vennesla (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,535
1723,Vennesla (-2019),Two or more-family households without resident children 0-17 years,Households,2019,188
1724,Vennesla (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,35
1725,Vennesla (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,48
1726,Vennesla (-2019),Other housesholds,Households,2019,0
1727,Songdalen (-2019),Living alone,Households,2019,948
1728,Songdalen (-2019),Couple without resident children,Households,2019,692
1729,Songdalen (-2019),Couple with small children (youngest child 0-5 years),Households,2019,318
1730,Songdalen (-2019),Couple with older children (youngest child 6-17 years),Households,2019,325
1731,Songdalen (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,40
1732,Songdalen (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,142
1733,Songdalen (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,249
1734,Songdalen (-2019),Two or more-family households without resident children 0-17 years,Households,2019,84
1735,Songdalen (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,26
1736,Songdalen (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,25
1737,Songdalen (-2019),Other housesholds,Households,2019,0
1738,Søgne (-2019),Living alone,Households,2019,1532
1739,Søgne (-2019),Couple without resident children,Households,2019,1218
1740,Søgne (-2019),Couple with small children (youngest child 0-5 years),Households,2019,510
1741,Søgne (-2019),Couple with older children (youngest child 6-17 years),Households,2019,620
1742,Søgne (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,64
1743,Søgne (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,229
1744,Søgne (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,408
1745,Søgne (-2019),Two or more-family households without resident children 0-17 years,Households,2019,106
1746,Søgne (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,31
1747,Søgne (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,36
1748,Søgne (-2019),Other housesholds,Households,2019,0
1749,Marnardal (-2019),Living alone,Households,2019,342
1750,Marnardal (-2019),Couple without resident children,Households,2019,270
1751,Marnardal (-2019),Couple with small children (youngest child 0-5 years),Households,2019,100
1752,Marnardal (-2019),Couple with older children (youngest child 6-17 years),Households,2019,115
1753,Marnardal (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,15
1754,Marnardal (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,34
1755,Marnardal (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,66
1756,Marnardal (-2019),Two or more-family households without resident children 0-17 years,Households,2019,33
1757,Marnardal (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,6
1758,Marnardal (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,7
1759,Marnardal (-2019),Other housesholds,Households,2019,0
1760,Åseral (-2019),Living alone,Households,2019,149
1761,Åseral (-2019),Couple without resident children,Households,2019,73
1762,Åseral (-2019),Couple with small children (youngest child 0-5 years),Households,2019,34
1763,Åseral (-2019),Couple with older children (youngest child 6-17 years),Households,2019,56
1764,Åseral (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,3
1765,Åseral (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,14
1766,Åseral (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,42
1767,Åseral (-2019),Two or more-family households without resident children 0-17 years,Households,2019,7
1768,Åseral (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,4
1769,Åseral (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,5
